BienSo,LoaiXe,ThoiGian,TrangThai
65H52106,motorcycle,2026-02-10 23:29:13,VAO
65H52106,Unknown,2026-02-10 23:30:27,VAO
6J1106,motorcycle,2026-02-10 23:32:28,VAO
65H52106,motorcycle,2026-02-10 23:32:28,VAO
65H5706,motorcycle,2026-02-10 23:32:30,VAO
IJ2106,motorcycle,2026-02-10 23:33:00,VAO
65H52106,Unknown,2026-02-10 23:55:06,VAO
65ZUN6,motorcycle,2026-02-10 23:55:08,VAO
6657U06,Unknown,2026-02-10 23:55:09,VAO
210665H5,motorcycle,2026-02-10 23:55:15,VAO
66ZIDG,Unknown,2026-02-10 23:55:17,VAO
65H52106,motorcycle,2026-02-10 23:55:18,RA
62H22106,Unknown,2026-02-10 23:55:28,VAO
6662106,motorcycle,2026-02-10 23:55:33,VAO
65652106,Unknown,2026-02-10 23:55:34,VAO
65H52106,Unknown,2026-02-10 23:55:37,RA
65H52106,motorcycle,2026-02-10 23:56:52,VAO
6152106,motorcycle,2026-02-10 23:57:15,VAO
65H52106,motorcycle,2026-02-10 23:57:18,RA
602106,motorcycle,2026-02-11 00:13:50,VAO
210665HS,Unknown,2026-02-11 00:13:53,VAO
65H52106,motorcycle,2026-02-11 00:13:55,VAO
65H52106,motorcycle,2026-02-11 00:13:55,RA
65H52406,motorcycle,2026-02-11 00:13:56,VAO
65HJ2106,Unknown,2026-02-11 00:13:56,VAO
65H57106,motorcycle,2026-02-11 00:13:58,VAO
765H52106,motorcycle,2026-02-11 00:13:59,VAO
65H5106,motorcycle,2026-02-11 00:14:00,RA
65H52106,motorcycle,2026-02-11 00:15:57,VAO
65H52106,motorcycle,2026-02-11 00:15:58,RA
065H52106,motorcycle,2026-02-11 00:16:05,VAO
65652106,Unknown,2026-02-11 00:16:08,VAO
65K52106,motorcycle,2026-02-11 00:16:19,RA
6652106,motorcycle,2026-02-11 00:16:19,VAO
65652406,Unknown,2026-02-11 00:16:20,VAO
652106,Unknown,2026-02-11 00:16:20,RA
65K52106,motorcycle,2026-02-11 00:16:20,VAO
65H57106,Unknown,2026-02-11 00:23:19,VAO
210665H5,motorcycle,2026-02-11 00:23:20,VAO
65H52106,motorcycle,2026-02-11 00:25:40,VAO
AZ106,motorcycle,2026-02-11 00:26:07,VAO
662106,motorcycle,2026-02-11 00:26:13,VAO
652106,motorcycle,2026-02-11 00:26:14,RA
65652106,motorcycle,2026-02-11 00:26:14,RA
6552106,motorcycle,2026-02-11 00:26:15,VAO
651J2106,motorcycle,2026-02-11 00:26:16,VAO
65FJ2106,motorcycle,2026-02-11 00:26:16,RA
65652106,motorcycle,2026-02-11 00:26:16,RA
65HJ2106,motorcycle,2026-02-11 00:26:17,VAO
65MJ2106,motorcycle,2026-02-11 00:26:30,RA
65152106,motorcycle,2026-02-24 00:30:41,VAO
622106,motorcycle,2026-02-24 00:30:57,VAO
UIJ2106,motorcycle,2026-02-24 00:30:57,VAO
71606,motorcycle,2026-02-24 00:30:59,VAO
65152106,motorcycle,2026-02-24 00:31:00,RA
6H52106,motorcycle,2026-02-24 00:31:00,VAO
6152106,motorcycle,2026-02-24 00:31:01,RA
6157106,motorcycle,2026-02-24 00:31:01,VAO
6HJ7106,motorcycle,2026-02-24 00:31:02,VAO
E67106,motorcycle,2026-02-24 00:31:03,VAO
6152106,motorcycle,2026-02-24 00:31:03,RA
62106655,motorcycle,2026-02-24 00:31:04,VAO
662106,motorcycle,2026-02-24 00:31:04,VAO
2106645,motorcycle,2026-02-24 00:31:04,VAO
65H52106,motorcycle,2026-02-24 00:32:30,VAO
240665H5,motorcycle,2026-02-24 00:32:30,VAO
65H52106,Unknown,2026-02-24 00:32:31,RA
210665H5,Unknown,2026-02-24 00:32:32,RA
210665H5,Unknown,2026-02-24 00:32:33,VAO
65H52106,motorcycle,2026-02-24 00:53:00,VAO
65H21065,Unknown,2026-02-24 00:53:09,RA
65152106,Unknown,2026-02-24 00:53:15,VAO
65H57106,Unknown,2026-02-24 00:53:32,VAO
65H52106,Unknown,2026-02-24 00:53:50,RA
65H52106,motorcycle,2026-02-24 00:53:50,RA
65H521063,Unknown,2026-02-24 00:53:50,VAO
0K1106,Unknown,2026-02-24 00:54:01,VAO
65H52106,Unknown,2026-02-24 00:54:01,RA
65H52106,motorcycle,2026-02-24 00:54:01,VAO
65H52106,Unknown,2026-02-24 00:54:02,RA
65H62106,Unknown,2026-02-24 00:54:03,VAO
02606LA,Unknown,2026-02-25 20:41:45,VAO,0
G4A02601,car,2026-02-25 20:41:46,VAO,0
6148260,car,2026-02-25 20:41:46,VAO,0
6402610,car,2026-02-25 20:41:47,VAO,0
61L82601,car,2026-02-25 20:41:47,VAO,0
61402601,Unknown,2026-02-25 20:41:47,VAO,0
6140260,car,2026-02-25 20:41:48,RA,20000
64826,car,2026-02-25 20:41:48,VAO,0
61A8260L,car,2026-02-25 20:41:48,VAO,0
61148260L,car,2026-02-25 20:41:48,VAO,0
6148261,car,2026-02-25 20:41:49,VAO,0
61402601,Unknown,2026-02-25 20:45:56,VAO,0
AELAS,Unknown,2026-02-25 20:45:56,VAO,0
B40260L,Unknown,2026-02-25 20:46:09,VAO,0
648260L,Unknown,2026-02-25 20:46:09,VAO,0
6140260L,Unknown,2026-02-25 20:46:10,RA,5000
192601,Unknown,2026-02-25 20:46:10,VAO,0
6148260L,Unknown,2026-02-25 20:46:11,RA,5000
BILFE260LU,Unknown,2026-02-25 20:46:11,VAO,0
DTEZ60L,Unknown,2026-02-25 20:46:11,VAO,0
